vehicle_id,vehicle_type,operator,line,speed,occupancy
1068,bus,22,621,11.26,0
1205,bus,22,94,3.76,0
1205,bus,22,94,7.31,0
1083,bus,6,80,0.31,0
1117,bus,22,1108,3.19,0
12,bus,12,771,9.63,0
1081,bus,6,80,3.7,0
1117,bus,22,1108,10.7,0
292,bus,6,107,0.0,0
1820,bus,12,1113,0.0,0
1820,bus,12,1113,1.13,0
455,tram,40,992,4.78,0
1240,bus,22,51,1.16,0
1535,bus,12,91,2.01,0
2234,bus,12,810,6.38,0
2234,bus,12,810,7.87,0
249,bus,6,1041,13.12,0
628,tram,40,1142,11.38,0
1076,bus,6,973,17.85,0
1832,bus,12,1113,17.43,0
463,bus,6,935,9.41,0
1825,bus,12,1109,7.5,0
1539,bus,12,771,11.16,0
949,bus,22,237,6.32,0
1111,bus,22,1108,16.81,0
444,bus,6,911,9.49,0
1085,bus,6,86,8.41,0
1838,bus,12,819,11.12,0
946,bus,22,237,8.11,0
