trip_id,route_id,start_time,start_date,direction,total_stops
,2015,2025-01-31 19:15:00,2025-01-30,2,34
,4721,2025-01-31 18:57:00,2025-01-30,1,46
,1088,2025-01-31 19:00:00,2025-01-30,1,15
,4600,2025-01-31 19:05:00,2025-01-30,2,25
,1063,2025-01-31 18:34:00,2025-01-30,1,33
,1066,2025-01-31 19:04:00,2025-01-30,1,23
,1077,2025-01-31 19:01:00,2025-01-30,2,28
,1002,2025-01-31 19:09:00,2025-01-30,2,27
,9641,2025-01-31 18:40:00,2025-01-30,2,54
,1013,2025-01-31 18:59:00,2025-01-30,2,13
,1075,2025-01-31 18:46:00,2025-01-30,1,27
,1010,2025-01-31 19:22:00,2025-01-30,1,1
,1008,2025-01-31 19:03:00,2025-01-30,1,24
,1069,2025-01-31 18:20:00,2025-01-30,1,62
,1081,2025-01-31 19:08:00,2025-01-30,2,20
,4561,2025-01-31 19:17:00,2025-01-30,1,1
,1042,2025-01-31 18:39:00,2025-01-30,1,25
,1040,2025-01-31 19:16:00,2025-01-30,1,24
,1002,2025-01-31 18:57:00,2025-01-30,2,25
,1002,2025-01-31 18:57:00,2025-01-30,1,25
,5530,2025-01-31 18:51:00,2025-01-30,1,35
,2125,2025-01-31 19:10:00,2025-01-30,2,33
,1081,2025-01-31 19:08:00,2025-01-30,1,19
,9643K,2025-01-31 18:28:00,2025-01-30,2,42
,5583,2025-01-31 19:15:00,2025-01-30,2,45
,1081,2025-01-31 18:53:00,2025-01-30,2,19
,1006,2025-01-31 19:08:00,2025-01-30,2,21
,1022,2025-01-31 19:19:00,2025-01-30,1,1
,2015,2025-01-31 18:35:00,2025-01-30,1,34
,2162,2025-01-31 19:06:00,2025-01-30,1,26
,1002,2025-01-31 18:57:00,2025-01-30,1,27
,1002,2025-01-31 19:09:00,2025-01-30,1,27
,4721,2025-01-31 19:02:00,2025-01-30,2,42
